Record Identifier,Student’s SSN,Date of Student’s Birth,Student’s First Name,Type of Loan,Date of Guaranty,Indicator of Separate Loan,Code for Original School,PLUS Borrower SSN,New Student’s SSN,New Date of Student’s Birth,New Student’s First Name,New Type of Loan,New Date of Guaranty,New Indicator of Separate Loan,New Code for Original School,New PLUS Borrower’s SSN,Data Provider Identifier,Filler,Borrower First Name,Borrower Middle Initial,Borrower Last Name,Borrower Maiden Name,Borrower Address Street Line 1,Borrower Address Street Line 2,Borrower Address City,Borrower Address State Code,,,RECORD
10,517897624,20090101,KEVIN,PL,202220101,N,12345678,         ,777777777,,,,,,,,,,,,,,,,,,,,1051789762420090101KEVINPL202220101N12345678         777777777
10,517897625,20090102,Joe,PL,202220102,N,12345679,         ,777777778,,,,,,,,,,,,,,,,,,,,1051789762520090102JoePL202220102N12345679         777777778
10,517897626,20090103,Frank,PL,202220103,N,12345680,         ,777777779,,,,,,,,,,,,,,,,,,,,1051789762620090103FrankPL202220103N12345680         777777779
10,517897627,20090104,Fin,PL,202220104,N,12345681,         ,777777780,,,,,,,,,,,,,,,,,,,,1051789762720090104FinPL202220104N12345681         777777780
10,517897628,20090105,Mary,PL,202220105,N,12345682,         ,777777781,,,,,,,,,,,,,,,,,,,,1051789762820090105MaryPL202220105N12345682         777777781
10,517897629,20090101,Tom,PL,202220106,N,12345683,         ,777777782,,,,,,,,,,,,,,,,,,,,1051789762920090101TomPL202220106N12345683         777777782
10,517897630,20090102,Tom,PL,202220107,N,12345684,         ,777777783,,,,,,,,,,,,,,,,,,,,1051789763020090102TomPL202220107N12345684         777777783
10,517897631,20090103,Lily,PL,202220108,N,12345685,         ,777777784,,,,,,,,,,,,,,,,,,,,1051789763120090103LilyPL202220108N12345685         777777784
10,517897632,20090104,Creg,PL,202220109,N,12345686,         ,777777785,,,,,,,,,,,,,,,,,,,,1051789763220090104CregPL202220109N12345686         777777785
10,517897633,20090105,Tom,PL,202220110,N,12345687,         ,777777786,,,,,,,,,,,,,,,,,,,,1051789763320090105TomPL202220110N12345687         777777786
10,517897634,20090101,Tom,PL,202220111,N,12345688,         ,777777787,,,,,,,,,,,,,,,,,,,,1051789763420090101TomPL202220111N12345688         777777787
10,517897635,20090102,Susan,PL,202220112,N,12345689,         ,777777788,,,,,,,,,,,,,,,,,,,,1051789763520090102SusanPL202220112N12345689         777777788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
